12.9.1986  Big Country; Jäähalli, Helsinki [C]
19.4.2024  Younghearted; Korjaamo [C]
2.5.2024   Anna Kokkonen (trio), Vahtera; On The Rocks [C]
4.5.2024   Anna Puu (ja Vantaan viihdeorkesteri); Musiikkitalo [C]
25.5.2024  Scandinavian Music Group (ja Vantaan viihdeorkesteri); Tampere-talo, Tampere [C]
31.5.2024  Vilma Alina; Sellosali [C]
5.6.2024   Behm; Allas Sea Pool [C]
13.6.2024  Annika Nord (akustinen); The Black Bird, Itis [C]
14.6.2024  Jonna Tervomaa (stripattuna); G.Livelab [C]
26.6.2024  Maija Vilkkumaa; Allas Sea Pool [C]
27.6.2024  Younghearted, Anssi Kela; Backaksen kartano [C]
4.7.2024   Anna Puu; Allas Sea Pool [C]
19.7.2024  Ropecon 2024; Messukeskus (3 days)
24.7.2024  Ida Elina; Esplanadin lava [C]
24.7.2024  Egotrippi; Allas Sea Pool [C]
25.7.2024  Sir Elwoodin hiljaiset värit; Tavastia [C]
26.7.2024  Ellinoora; Allas Sea Pool [C]
1.8.2024   Annika Nord (akustinen); The Black Bird, Itis [C]
9.8.2024   Anna Puu; Krapin puisto, Tuusula [C]
17.8.2024  Irina; Suisto-klubi [C]
23.8.2024  Giant Robot; Huvila-teltta [C]
24.8.2024  PMMP; Olympiastadion [C]
29.8.2024  Haloo Helsinki!; Allas Sea Pool [C]
6.9.2024   Jonna Tervomaa; Tavastia [C]
14.9.2024  Nupu; On The Rocks [C]
18.9.2024  The Nits; Savoy [C]
19.9.2024  Jonna Tervomaa; Krapin Paja, Tuusula [C]
26.9.2024  Aliisa Syrjä; G.Livelab [C]
2.10.2024  Indica; Tavastia [C]
3.10.2024  Behm; Järvenpää-talo, Järvenpää [C]
5.10.2024  Lindsey Stirling, Nya; Annexet, Stockholm, Sweden [C]
10.10.2024 Eva Louhivuori; Louhisali, Espoon kulttuurikeskus [C]
10.10.2024 Annika Nord; Semifinal [C]
11.10.2024 Within Temptation, Annisokay; Jäähalli [C]
12.10.2024 Husky Rescue; Kult [C]
16.10.2024 Erja Lyytinen; Martinus-sali [C]
19.10.2024 Sara Siipola; On The Rocks [C]
23.10.2024 Eroma, Sini ja Simi; Tiivistämö [C]
29.10.2024 Big Country; Kulttuuritalo [C]
2.11.2024  Irina; Krapin Paja [C]
8.11.2024  The Corrs, Natalie Imbruglia; SSE Arena, Belfast, Northern Ireland [C]
9.11.2024  The Corrs, Natalie Imbruglia; 3Arena, Dublin, Ireland [C]
16.11.2024 Scandinavian Music Group (ja Ikuiset ystävät); Tavastia [C]
22.11.2024 Eva Louhivuori; Kulmasali, Korjaamo [C]
23.11.2024 PMMP, Etta; Jäähalli [C]
26.11.2024 Rabbit Cult; Arabiasali, Pop & Jazz Konservatorio [C]
29.11.2024 Värttinä; Kannusali [C]
30.11.2024 Indica; Louhisali, Espoon kulttuurikeskus [C]
5.12.2024  Maija Vilkkumaa (Vilkku-Maa); Nokia Areena, Tampere [C]
11.12.2024 Annika Nord, AWA, Emmy June; On The Rocks [C]
13.12.2024 Jenni Vartiainen; Verkatehdas, Hämeenlinna [C]
14.12.2024 Jenni Vartiainen; Tapiolasali, Espoon kulttuurikeskus [C]
18.12.2024 Haloo Helsinki!; Tavastia [C]
20.12.2024 Brian; Bar Loose [C]
27.12.2024 Aliisa Syrjä; Kulmasali, Korjaamo [C]
28.12.2024 Younghearted; G.Livelab [C]
11.1.2025  Unén; Bar Loose [C]
4.2.2025   Gregorian; Finlandia-talo [C]
7.2.2025   Maija Vilkkumaa; Tulisuudelma [C]
8.2.2025   CC Rider 25 (Elvis); Peacock [C]
27.2.2025  Anna Kokkonen; Malmitalo [C]
28.2.2025  Younghearted; Vaunusali, Korjaamo [C]
7.3.2025   Wilma; On The Rocks [C]
8.3.2025   Nupu; Vintti, Korjaamo [C]
21.3.2025  Ellinoora; Tavastia [C]
26.3.2025  Jonna Tervomaa; Louhisali, Espoon kulttuurikeskus [C]
27.3.2025  Erja Lyytinen; Vaunusali, Korjaamo [C]
29.3.2025  Maija Vilkkumaa, Linda; Rytmikorjaamo, Seinäjoki [C]
2.4.2025   Jethro Tull; Kulttuuritalo [C]
10.4.2025  Viitasen Piia, Annika Pudas; Vaunusali, Korjaamo [C]
12.4.2025  Maija Vilkkumaa; Tavastia (1) [C]
12.4.2025  Maija Vilkkumaa; Tavastia (2) [C]
13.4.2025  Maija Vilkkumaa (Se ei olekaan niin 20v); Tavastia [C]
16.4.2025  Vilma Jää; Louhisali, Espoon kulttuurikeskus [C]
17.4.2025  Scandinavian Music Group; Sellosali [C]
18.4.2025  Ellimei; Semifinal [C]
23.4.2025  Avantasia; Jäähalli (Black Box) [C]
24.4.2025  Rodeo; Tavastia [C]
30.4.2025  Indica, Nupu; On The Rocks [C]
1.5.2025   Jenni Vartiainen; Tavastia [C]
3.5.2025   Bosslady (musikaali); Seinäjoen kaupunginteatteri (väistötila Aino-sali, Paviljonki)
9.5.2025   Ellis; Semifinal [C]
17.5.2025  Younghearted (akustinen), Vera Wall; Weegee-aukio [C]
17.5.2025  Annika Nord, Spotless Souls, Nelosolut, Markomallow; Korjaamo [MC]
23.5.2025  Spotless Souls, Rain Diary; Bar Loose [C]
29.5.2025  Alma Alanko; Musiikkitalon terassi [C]
30.5.2025  Calla; Vintti, Korjaamo [C]
31.5.2025  Scandinavian Music Group; Krapin Paja, Tuusula [C]
2.6.2025   Ketunhautaintie, Hannaeerika; Kansalaistori [C]
5.6.2025   AWA; Playhouse Bar [C]
7.6.2025   Vesterinen yhtyeineen; Allas Sea Pool [C]
13.6.2025  Younghearted, Sonia; Allas Sea Pool [C]
13.6.2025  Pilven piirtäjät; Tavastia [MC]
15.6.2025  Jean-Michel Jarre, Tangerine Dream; Nordis [C]
17.6.2025  The Corrs; Gröna Lund, Stockholm [C]
18.6.2025  The Corrs; Liseberg, Göterborg [C]
24.6.2025  The Corrs, Dea Matrona; Zitadelle Spandau, Berlin [C]
25.6.2025  The Corrs, Dea Matrona; Stadtpark Open Air, Hamburg [C]
3.7.2025   Behm, Ellimei; Backaksen kartano [C]
9.7.2025   Aliisa Syrjä, Ilta; Nordis Live [C]
10.7.2025  Rodeo; Allas Sea Pool [C]
12.7.2025  Neea River; On The Rocks [C]
18.7.2025  Spotless Souls, Sina Viola, Nukkuvat Linnut; Semifinal [C]
25.7.2025  Ropecon 2025; Messukeskus (3 days)
30.7.2025  Ketunhautaintie; Lasipalatsin aukio [C]
30.7.2025  Juhlat, Hopeasiivet [MC]; Tavastia [C]
31.7.2025  Sir Elwoodin hiljaiset värit; Tavastia [C]
1.8.2025   Kemopetrol; Tavastia [C]
7.8.2025   AWA, Peltokurki, Christina Boman [MC]; Tapiolan Amfi [C]
8.8.2025   Sonia, Asla Jo; Lämpiö, Espoon kulttuurikeskus [C]
16.8.2025  Tuomilahti 100v; Tuomilahti, Pihkaperä, Ylöjärvi
23.8.2025  Spotless Souls; Esplanadin lava [C]
23.8.2025  Aliisa Syrjä, Itcevät; Ala-Malmin Puisto [C]
24.8.2025  Ismo Leikola; Kulttuuritalo
28.8.2025  Nupu, Vivia, Huhu [MC]; Tapiolan Amfi [C]
29.8.2025  Jenni Vartiainen; Allas Sea Pool [C]
3.9.2025   Unén; Semifinal [C]
6.9.2025   Nothing For Money (Dire Straits coveryhtye); Louhisali, Espoon kulttuurikeskus [C]
11.9.2025  Ayreon (30th Anniversary - An Amazing Flight Through Time dress rehearsal); 013 Poppodium, Tilburg, The Netherlands [C]
12.9.2025  Ayreon (30th Anniversary - An Amazing Flight Through Time); 013 Poppodium, Tilburg, The Netherlands [C]
14.9.2025  Ayreon (30th Anniversary - An Amazing Flight Through Time); 013 Poppodium, Tilburg, The Netherlands [C]
26.9.2025  Ellinoora; Bar Loose [C]
27.9.2025  Irina; Eikan Pub, Järvenpää [C]
4.10.2025  Club for Five (ja Vantaan viihdeorkesteri); Musiikkitalo [C]
10.10.2025 Vesterinen yhtyeineen; Tapiolasali, Espoon kulttuurikeskus [C]
10.10.2025 Ellis; Semifinal [C]
11.10.2025 Rodeo; Hybridiareena Hype [C]
15.10.2025 Oneviolin; Martinus-sali [C]
17.10.2025 The Rasmus, Cvlt ov the Svn; Tavastia [C]
18.10.2025 Irina; Kannusali [C]
24.10.2025 Husky Rescue; Kulttuuritalo [C]
25.10.2025 Nelli Matula; Louhisali, Espoon kulttuurikeskus [C]
5.11.2025  Ellimei; Kult [C]
9.11.2025  Roxette; Veikkaus Arena [C]
13.11.2025 Indica; Sellosali [C]
14.11.2025 Behm; Tavastia [C]
15.11.2025 Samuli Putro; Tapiolasali, Espoon kulttuurikeskus [C]
20.11.2025 Johanna von Hertzen, ILO, Pampulameri, Norae; On The Rocks [C]
21.11.2025 Younghearted; Savoy [C]
21.11.2025 Regina; Tavastia [C]
22.11.2025 Irina; Krapin Paja, Tuusula [C]
26.11.2025 Moulin Rouge; Helsingin kaupunginteatteri
5.12.2025  Spotless Souls, The Halophones; The Cliff [C]
12.12.2025 Behm, Rodeo, Windows95man; Logomo, Turku [C]
13.12.2025 Nupu, Nukkuvat linnut; Vintti, Korjaamo [C]
18.12.2025 Indica (akustinen); G.Livelab, Tampere [C]
24.1.2026  Rabbit Cult, Omnium Gatherum; Tavastia [C]
30.1.2026  Ellimei; Semifinal [C]
5.2.2026   Spotless Souls, Atte Nordberg, Markus Perttula [MC]; Semifinal [C]
7.2.2026   Scandinavian Music Group, Oh?; Tavastia [C]
8.2.2026   Irina; Martinus-sali [C]
11.2.2026  Irina (trio); Piikkiön kirkko, Piikkiö [C]
12.2.2026  Younghearted; Sellosali [C]
20.2.2026  Scandinavian Music Group, Oh?; Tapiolasali, Espoon kulttuurikeskus [C]
26.2.2026  Emmy June, Viia [MC]; Semifinal [C]
27.2.2026  Jonna Tervomaa; Tapiolasali, Espoon kulttuurikeskus [C]
